Country,Region,Happiness Score,Happiness Rank,GDP per Capita,Healthy life expectancy,Freedom to make life choices,Perception of corruption
Afghanistan,Southern Asia,3.575,153,0.31982,30.335,0.23414,0.90281
Albania,Central and Eastern Europe,4.959,95,0.87867,81.325,0.35733,0.93587
Algeria,Middle East and Northern Africa,5.605,68,0.93929,61.766,0.28579,0.82617
Angola,Sub-Saharan Africa,4.033,137,0.75778,16.683,0.10384,0.92878
Argentina,Latin America and Caribbean,6.574,30,1.05351,78.723,0.44974,0.91516
Armenia,Central and Eastern Europe,4.35,127,0.76821,72.99,0.19847,0.961
Australia,Australia and New Zealand,7.284,10,1.33358,93.156,0.65124,0.64363
Austria,Western Europe,7.2,13,1.33723,89.042,0.62433,0.81324
Azerbaijan,Central and Eastern Europe,5.212,80,1.02389,64.045,0.3703,0.83935
Bahrain,Middle East and Northern Africa,5.96,49,1.32376,74.716,0.45492,0.694
Bangladesh,Southern Asia,4.694,109,0.39753,60.164,0.4082,0.87431
Belarus,Central and Eastern Europe,5.813,59,1.03192,73.608,0.37938,0.8091
Belgium,Western Europe,6.937,19,1.30782,89.667,0.5845,0.7746
Benin,Sub-Saharan Africa,3.34,155,0.28665,31.91,0.4845,0.9199
Bhutan,Southern Asia,5.253,79,0.77042,57.407,0.53206,0.84555
Bolivia,Latin America and Caribbean,5.89,51,0.68133,53.92,0.57414,0.912
Bosnia and Herzegovina,Central and Eastern Europe,4.949,96,0.83223,79.081,0.09245,0.99773
Botswana,Sub-Saharan Africa,4.332,128,0.99355,4.776,0.49495,0.87526
Brazil,Latin America and Caribbean,6.983,16,0.98124,69.702,0.49049,0.82479
Bulgaria,Central and Eastern Europe,4.218,134,1.01216,76.649,0.30587,0.99128
Burkina Faso,Sub-Saharan Africa,3.587,152,0.25812,27.125,0.39493,0.87168
Burundi,Sub-Saharan Africa,2.905,157,0.0153,22.396,0.1185,0.89938
Cambodia,Southeastern Asia,3.819,145,0.46038,61.114,0.66246,0.92753
Cameroon,Sub-Saharan Africa,4.252,133,0.4225,23.402,0.49309,0.94214
Canada,North America,7.427,5,1.32629,90.563,0.63297,0.67043
Central African Republic,Sub-Saharan Africa,3.678,148,0.0785,6.699,0.48879,0.91711
Chad,Sub-Saharan Africa,3.667,149,0.34193,15.01,0.23501,0.94731
Chile,Latin America and Caribbean,6.67,27,1.10715,85.857,0.44132,0.87131
China,Eastern Asia,5.14,84,0.89012,81.658,0.51697,0.97219
Colombia,Latin America and Caribbean,6.477,33,0.91861,69.077,0.53466,0.9488
Comoros,Sub-Saharan Africa,3.956,140,0.23906,36.315,0.22917,0.801
Congo (Brazzaville),Sub-Saharan Africa,3.989,139,0.67866,31.051,0.41466,0.88314
Congo (Kinshasa),Sub-Saharan Africa,4.517,120,0,9.806,0.22605,0.92375
Costa Rica,Latin America and Caribbean,7.226,12,0.95578,86.027,0.63376,0.89417
Croatia,Central and Eastern Europe,5.759,62,1.08254,78.805,0.25883,0.9757
Cyprus,Western Europe,5.689,67,1.20813,92.356,0.40672,0.93854
Czech Republic,Central and Eastern Europe,6.505,31,1.17898,84.483,0.46364,0.97348
Denmark,Western Europe,7.527,3,1.32548,87.464,0.64938,0.51643
Djibouti,Sub-Saharan Africa,4.369,126,0.44025,36.291,0.46074,0.71895
Dominican Republic,Latin America and Caribbean,4.885,98,0.89537,66.825,0.57672,0.85766
Ecuador,Latin America and Caribbean,5.975,48,0.86402,79.075,0.48574,0.8191
Egypt,Middle East and Northern Africa,4.194,135,0.8818,61.712,0.17288,0.93676
El Salvador,Latin America and Caribbean,6.13,42,0.76454,67.737,0.4035,0.88224
Estonia,Central and Eastern Europe,5.429,73,1.15174,77.361,0.44888,0.84816
Ethiopia,Sub-Saharan Africa,4.512,122,0.19073,44.055,0.4345,0.84952
Finland,Western Europe,7.406,6,1.29025,88.911,0.64169,0.58628
France,Western Europe,6.575,29,1.27778,94.579,0.55011,0.79354
Gabon,Sub-Saharan Africa,3.896,143,1.06024,43.372,0.31914,0.88909
Georgia,Central and Eastern Europe,4.297,130,0.7419,72.926,0.40577,0.61669
Germany,Western Europe,6.75,26,1.32792,89.186,0.61477,0.78157
Ghana,Sub-Saharan Africa,4.633,114,0.54558,40.132,0.42342,0.95645
Greece,Western Europe,4.857,102,1.15406,88.213,0.07699,0.98603
Guatemala,Latin America and Caribbean,6.123,43,0.74553,64.425,0.57733,0.90528
Guinea,Sub-Saharan Africa,3.656,150,0.17417,24.009,0.37725,0.87861
Haiti,Latin America and Caribbean,4.518,119,0.26673,38.847,0.24425,0.82825
Honduras,Latin America and Caribbean,4.788,105,0.59532,69.51,0.40148,0.93175
Hong Kong,Eastern Asia,5.474,72,1.38604,101.328,0.59608,0.62876
Hungary,Central and Eastern Europe,4.8,104,1.12094,75.905,0.32112,0.97242
Iceland,Western Europe,7.561,2,1.30232,94.784,0.62877,0.85855
India,Southern Asia,4.565,117,0.64499,51.529,0.39786,0.91508
Indonesia,Southeastern Asia,5.399,74,0.82827,63.793,0.46611,1
Iran,Middle East and Northern Africa,4.686,110,1.0088,69.805,0.30033,0.94137
Iraq,Middle East and Northern Africa,4.677,112,0.98549,60.237,0,0.86212
Ireland,Western Europe,6.94,18,1.33596,89.533,0.61777,0.71297
Israel,Middle East and Northern Africa,7.278,11,1.22857,91.387,0.41319,0.92215
Italy,Western Europe,5.948,50,1.25114,95.446,0.26236,0.97099
Ivory Coast,Sub-Saharan Africa,3.655,151,0.46534,15.185,0.46866,0.82078
Jamaica,Latin America and Caribbean,5.709,65,0.81038,68.741,0.50442,0.97701
Japan,Eastern Asia,5.987,46,1.27074,99.111,0.49615,0.8194
Jordan,Middle East and Northern Africa,5.192,82,0.90198,69.639,0.40661,0.85707
Kazakhstan,Central and Eastern Europe,5.855,54,1.12254,64.368,0.51649,0.91546
Kenya,Sub-Saharan Africa,4.419,125,0.36471,41.435,0.42215,0.94161
Kosovo,Central and Eastern Europe,5.589,69,0.80148,63.132,0.24749,0.95259
Kuwait,Middle East and Northern Africa,6.295,39,1.55422,72.492,0.55499,0.74391
Kyrgyzstan,Central and Eastern Europe,5.286,77,0.47428,65.088,0.43477,0.95768
Laos,Southeastern Asia,4.876,99,0.59066,54.909,0.59591,0.75751
Latvia,Central and Eastern Europe,5.098,89,1.11312,72.437,0.29671,0.93668
Lebanon,Middle East and Northern Africa,4.839,103,1.02564,83.947,0.33916,0.95418
Lesotho,Sub-Saharan Africa,4.898,97,0.37545,7.612,0.31767,0.87496
Liberia,Sub-Saharan Africa,4.571,116,0.0712,34.201,0.28531,0.93768
Libya,Middle East and Northern Africa,5.754,63,1.13145,70.38,0.41668,0.88977
Lithuania,Central and Eastern Europe,5.833,56,1.14723,73.128,0.21342,0.98969
Luxembourg,Western Europe,6.946,17,1.56391,91.894,0.61583,0.62202
Macedonia,Central and Eastern Europe,5.007,93,0.91851,73.545,0.33457,0.94673
Madagascar,Sub-Saharan Africa,3.681,147,0.20824,46.721,0.19184,0.91876
Malawi,Sub-Saharan Africa,4.292,131,0.01604,22.562,0.43054,0.93023
Malaysia,Southeastern Asia,5.77,61,1.12486,72.394,0.53024,0.89499
Mali,Sub-Saharan Africa,3.995,138,0.26074,20.583,0.38857,0.87648
Malta,Western Europe,6.302,37,1.2074,88.721,0.60365,0.86414
Mauritania,Sub-Saharan Africa,4.436,124,0.45407,35.874,0.24232,0.82539
Mauritius,Sub-Saharan Africa,5.477,71,1.00761,70.95,0.56066,0.92479
Mexico,Latin America and Caribbean,7.187,14,1.02054,81.444,0.48181,0.78688
Moldova,Central and Eastern Europe,5.889,52,0.59448,61.826,0.32818,0.98385
Mongolia,Eastern Asia,4.874,100,0.82819,60.268,0.43626,0.97334
Montenegro,Central and Eastern Europe,5.192,82,0.97438,72.521,0.1826,0.85704
Morocco,Middle East and Northern Africa,5.013,92,0.73479,60.954,0.41691,0.91454
Mozambique,Sub-Saharan Africa,4.971,94,0.08308,9.131,0.34037,0.84397
Myanmar,Southeastern Asia,4.307,129,0.27108,48.246,0.44017,0.80966
Nepal,Southern Asia,4.514,121,0.35997,56.874,0.38282,0.94093
Netherlands,Western Europe,7.378,7,1.32944,89.284,0.61576,0.68186
New Zealand,Australia and New Zealand,7.286,9,1.25018,90.837,0.63938,0.57078
Nicaragua,Latin America and Caribbean,5.828,57,0.59325,74.314,0.55475,0.80683
Niger,Sub-Saharan Africa,3.845,144,0.0694,29.707,0.47692,0.84361
Nigeria,Sub-Saharan Africa,5.268,78,0.65435,16.007,0.34334,0.9597
North Cyprus,Western Europe,5.695,66,1.20806,92.356,0.49027,0.8572
Norway,Western Europe,7.522,4,1.459,88.521,0.66973,0.63497
Oman,Middle East and Northern Africa,6.853,22,1.36011,76.276,0.63274,0.67476
Pakistan,Southern Asia,5.194,81,0.59543,51.466,0.12102,0.89536
Palestinian Territories,Middle East and Northern Africa,4.715,108,0.59867,66.015,0.24499,0.87095
Panama,Latin America and Caribbean,6.786,25,1.06353,79.661,0.5421,0.9073
Paraguay,Latin America and Caribbean,5.878,53,0.75985,66.098,0.53899,0.91758
Peru,Latin America and Caribbean,5.824,58,0.90019,73.017,0.41496,0.94011
Philippines,Southeastern Asia,5.073,90,0.70532,58.114,0.62545,0.87721
Poland,Central and Eastern Europe,5.791,60,1.12555,77.903,0.53122,0.95788
Portugal,Western Europe,5.102,88,1.15991,87.519,0.51469,0.98922
Qatar,Middle East and Northern Africa,6.611,28,1.69042,79.733,0.6404,0.47792
Romania,Central and Eastern Europe,5.124,86,1.04345,76.89,0.35068,0.99351
Russia,Central and Eastern Europe,5.716,64,1.13764,66.926,0.36679,0.96995
Rwanda,Sub-Saharan Africa,3.465,154,0.22208,42.864,0.59201,0.44809
Saudi Arabia,Middle East and Northern Africa,6.411,35,1.39541,72.025,0.31048,0.67476
Senegal,Sub-Saharan Africa,3.904,142,0.36498,43.54,0.36772,0.89287
Serbia,Central and Eastern Europe,5.123,87,0.92053,74.836,0.20107,0.97383
Sierra Leone,Sub-Saharan Africa,4.507,123,0.33024,0,0.4084,0.91214
Singapore,Southeastern Asia,6.798,24,1.52186,102.525,0.54252,0.5079
Slovakia,Central and Eastern Europe,5.995,45,1.16891,78.902,0.31751,0.96569
