Country,Region,Happiness Score,Happiness Rank,GDP per Capita,Health (Life Expectancy),Freedom to make life choices,Perceptions of corruption
Afghanistan,Southern Asia,3.203,154,0.35,0.361,0,0.025
Albania,Central and Eastern Europe,4.719,107,0.947,0.874,0.383,0.027
Algeria,Middle East and Northern Africa,5.211,88,1.002,0.785,0.086,0.114
Argentina,Latin America and Caribbean,6.086,47,1.092,0.881,0.471,0.05
Armenia,Central and Eastern Europe,4.559,116,0.85,0.815,0.283,0.064
Australia,Australia and New Zealand,7.228,11,1.372,1.036,0.557,0.29
Austria,Western Europe,7.246,10,1.376,1.016,0.532,0.226
Azerbaijan,Central and Eastern Europe,5.208,90,1.043,0.769,0.351,0.182
Bahrain,Middle East and Northern Africa,6.199,37,1.362,0.871,0.536,0.11
Bangladesh,Southern Asia,4.456,125,0.562,0.723,0.527,0.143
Belarus,Central and Eastern Europe,5.323,81,1.067,0.789,0.235,0.142
Belgium,Western Europe,6.923,18,1.356,0.986,0.473,0.21
Benin,Sub-Saharan Africa,4.883,102,0.393,0.397,0.349,0.082
Bhutan,Southern Asia,5.082,95,0.813,0.604,0.457,0.167
Bolivia,Latin America and Caribbean,5.779,61,0.776,0.706,0.511,0.064
Bosnia and Herzegovina,Central and Eastern Europe,5.386,78,0.945,0.845,0.212,0.006
Botswana,Sub-Saharan Africa,3.488,148,1.041,0.538,0.455,0.1
Brazil,Latin America and Caribbean,6.3,32,1.004,0.802,0.39,0.086
Bulgaria,Central and Eastern Europe,5.011,97,1.092,0.815,0.311,0.004
Burkina Faso,Sub-Saharan Africa,4.587,115,0.331,0.38,0.255,0.113
Burundi,Sub-Saharan Africa,3.775,145,0.046,0.38,0.22,0.18
Cambodia,Southeastern Asia,4.7,109,0.574,0.637,0.609,0.062
Cameroon,Sub-Saharan Africa,5.044,96,0.549,0.331,0.381,0.037
Canada,North America,7.278,9,1.365,1.039,0.584,0.308
Central African Republic,Sub-Saharan Africa,3.083,155,0.026,0.105,0.225,0.035
Chad,Sub-Saharan Africa,4.35,132,0.35,0.192,0.174,0.078
Chile,Latin America and Caribbean,6.444,26,1.159,0.92,0.357,0.056
China,Eastern Asia,5.191,93,1.029,0.893,0.521,0.1
Colombia,Latin America and Caribbean,6.125,43,0.985,0.841,0.47,0.034
Comoros,Sub-Saharan Africa,3.973,142,0.274,0.505,0.142,0.078
Congo (Brazzaville),Sub-Saharan Africa,4.812,103,0.673,0.508,0.372,0.093
Congo (Kinshasa),Sub-Saharan Africa,4.418,127,0.094,0.357,0.269,0.053
Costa Rica,Latin America and Caribbean,7.167,12,1.034,0.963,0.558,0.093
Croatia,Central and Eastern Europe,5.432,75,1.155,0.914,0.296,0.022
Cyprus,Western Europe,6.046,49,1.263,1.042,0.406,0.041
Czech Republic,Central and Eastern Europe,6.852,20,1.269,0.92,0.457,0.036
Denmark,Western Europe,7.6,2,1.383,0.996,0.592,0.41
Dominican Republic,Latin America and Caribbean,5.425,77,1.015,0.779,0.497,0.101
Ecuador,Latin America and Caribbean,6.028,50,0.912,0.868,0.498,0.087
Egypt,Middle East and Northern Africa,4.166,137,0.913,0.644,0.241,0.067
El Salvador,Latin America and Caribbean,6.253,35,0.794,0.789,0.43,0.074
Estonia,Central and Eastern Europe,5.893,55,1.237,0.874,0.495,0.161
Ethiopia,Sub-Saharan Africa,4.286,134,0.336,0.532,0.344,0.1
Finland,Western Europe,7.769,1,1.34,0.986,0.596,0.393
France,Western Europe,6.592,24,1.324,1.045,0.436,0.183
Gabon,Sub-Saharan Africa,4.799,104,1.057,0.571,0.295,0.055
Gambia,,4.516,120,0.308,0.428,0.382,0.167
Georgia,Central and Eastern Europe,4.519,119,0.886,0.752,0.346,0.164
Germany,Western Europe,6.985,17,1.373,0.987,0.495,0.265
Ghana,Sub-Saharan Africa,4.996,98,0.611,0.486,0.381,0.04
Greece,Western Europe,5.287,82,1.181,0.999,0.067,0.034
Guatemala,Latin America and Caribbean,6.436,27,0.8,0.746,0.535,0.078
Guinea,Sub-Saharan Africa,4.534,118,0.38,0.375,0.332,0.086
Haiti,Latin America and Caribbean,3.597,147,0.323,0.449,0.026,0.11
Honduras,Latin America and Caribbean,5.86,59,0.642,0.828,0.507,0.078
Hong Kong,Eastern Asia,5.43,76,1.438,1.122,0.44,0.287
Hungary,Central and Eastern Europe,5.758,62,1.201,0.828,0.199,0.02
Iceland,Western Europe,7.494,4,1.38,1.026,0.591,0.118
India,Southern Asia,4.015,140,0.755,0.588,0.498,0.085
Indonesia,Southeastern Asia,5.192,92,0.931,0.66,0.491,0.028
Iran,Middle East and Northern Africa,4.548,117,1.1,0.785,0.305,0.125
Iraq,Middle East and Northern Africa,4.437,126,1.043,0.574,0.241,0.089
Ireland,Western Europe,7.021,16,1.499,0.999,0.516,0.31
Israel,Middle East and Northern Africa,7.139,13,1.276,1.029,0.371,0.082
Italy,Western Europe,6.223,36,1.294,1.039,0.231,0.03
Ivory Coast,Sub-Saharan Africa,4.944,99,0.569,0.232,0.352,0.09
Jamaica,Latin America and Caribbean,5.89,56,0.831,0.831,0.49,0.028
Japan,Eastern Asia,5.886,58,1.327,1.088,0.445,0.14
Jordan,Middle East and Northern Africa,4.906,101,0.837,0.815,0.383,0.13
Kazakhstan,Central and Eastern Europe,5.809,60,1.173,0.729,0.41,0.096
Kenya,Sub-Saharan Africa,4.509,121,0.512,0.581,0.431,0.053
Kosovo,Central and Eastern Europe,6.1,46,0.882,0.758,0.489,0.006
Kuwait,Middle East and Northern Africa,6.021,51,1.5,0.808,0.493,0.097
Kyrgyzstan,Central and Eastern Europe,5.261,86,0.551,0.723,0.508,0.023
Laos,Southeastern Asia,4.796,105,0.764,0.551,0.547,0.164
Latvia,Central and Eastern Europe,5.94,53,1.187,0.812,0.264,0.064
Lebanon,Middle East and Northern Africa,5.197,91,0.987,0.815,0.216,0.027
Lesotho,Sub-Saharan Africa,3.802,144,0.489,0.168,0.359,0.093
Liberia,Sub-Saharan Africa,3.975,141,0.073,0.443,0.37,0.033
Libya,Middle East and Northern Africa,5.525,72,1.044,0.673,0.416,0.152
Lithuania,Central and Eastern Europe,6.149,42,1.238,0.818,0.291,0.042
Luxembourg,Western Europe,7.09,14,1.609,1.012,0.526,0.316
Madagascar,Sub-Saharan Africa,3.933,143,0.274,0.555,0.148,0.041
Malawi,Sub-Saharan Africa,3.41,150,0.191,0.495,0.443,0.089
Malaysia,Southeastern Asia,5.339,80,1.221,0.828,0.508,0.024
Mali,Sub-Saharan Africa,4.39,128,0.385,0.308,0.327,0.052
Malta,Western Europe,6.726,22,1.3,0.999,0.564,0.151
Mauritania,Sub-Saharan Africa,4.49,122,0.57,0.489,0.066,0.088
Mauritius,Sub-Saharan Africa,5.888,57,1.12,0.798,0.498,0.06
Mexico,Latin America and Caribbean,6.595,23,1.07,0.861,0.433,0.073
Moldova,Central and Eastern Europe,5.529,71,0.685,0.739,0.245,0
Mongolia,Eastern Asia,5.285,83,0.948,0.667,0.317,0.038
Montenegro,Central and Eastern Europe,5.523,73,1.051,0.871,0.197,0.08
Morocco,Middle East and Northern Africa,5.208,89,0.801,0.782,0.418,0.076
Mozambique,Sub-Saharan Africa,4.466,123,0.204,0.39,0.494,0.138
Myanmar,Southeastern Asia,4.36,131,0.71,0.555,0.525,0.172
Namibia,,4.639,113,0.879,0.477,0.401,0.056
Nepal,Southern Asia,4.913,100,0.446,0.677,0.439,0.089
Netherlands,Western Europe,7.488,5,1.396,0.999,0.557,0.298
New Zealand,Australia and New Zealand,7.307,8,1.303,1.026,0.585,0.38
Nicaragua,Latin America and Caribbean,6.105,45,0.694,0.835,0.435,0.127
Niger,Sub-Saharan Africa,4.628,114,0.138,0.366,0.318,0.102
Nigeria,Sub-Saharan Africa,5.265,85,0.696,0.245,0.426,0.041
North Macedonia,,5.274,84,0.983,0.838,0.345,0.034
North Cyprus,Western Europe,5.718,64,1.263,1.042,0.417,0.162
Norway,Western Europe,7.554,3,1.488,1.028,0.603,0.341
Pakistan,Southern Asia,5.653,67,0.677,0.535,0.313,0.098
Palestinian Territories,Middle East and Northern Africa,4.696,110,0.657,0.672,0.225,0.066
Panama,Latin America and Caribbean,6.321,31,1.149,0.91,0.516,0.054
Paraguay,Latin America and Caribbean,5.743,63,0.855,0.777,0.514,0.08
Peru,Latin America and Caribbean,5.697,65,0.96,0.854,0.455,0.027
Philippines,Southeastern Asia,5.631,69,0.807,0.657,0.558,0.107
Poland,Central and Eastern Europe,6.182,40,1.206,0.884,0.483,0.05
Portugal,Western Europe,5.693,66,1.221,0.999,0.508,0.025
Qatar,Middle East and Northern Africa,6.374,29,1.684,0.871,0.555,0.167
Romania,Central and Eastern Europe,6.07,48,1.162,0.825,0.462,0.005
Russia,Central and Eastern Europe,5.648,68,1.183,0.726,0.334,0.031
Rwanda,Sub-Saharan Africa,3.334,152,0.359,0.614,0.555,0.411
Saudi Arabia,Middle East and Northern Africa,6.375,28,1.403,0.795,0.439,0.132
Senegal,Sub-Saharan Africa,4.681,111,0.45,0.571,0.292,0.072
Serbia,Central and Eastern Europe,5.603,70,1.004,0.854,0.282,0.039
Sierra Leone,Sub-Saharan Africa,4.374,129,0.268,0.242,0.309,0.045
Singapore,Southeastern Asia,6.262,34,1.572,1.141,0.556,0.453
Slovakia,Central and Eastern Europe,6.198,38,1.246,0.881,0.334,0.014
Slovenia,Central and Eastern Europe,6.118,44,1.258,0.953,0.564,0.057
Somalia,,4.668,112,0,0.268,0.559,0.27
South Africa,Sub-Saharan Africa,4.722,106,0.96,0.469,0.389,0.055
South Korea,Eastern Asia,5.895,54,1.301,1.036,0.159,0.056
South Sudan,,2.853,156,0.306,0.295,0.01,0.091
Spain,Western Europe,6.354,30,1.286,1.062,0.362,0.079
Sri Lanka,Southern Asia,4.366,130,0.949,0.831,0.47,0.047
Swaziland,Sub-Saharan Africa,4.212,135,0.811,0,0.313,0.135
Sweden,Western Europe,7.343,7,1.387,1.009,0.574,0.373
Switzerland,Western Europe,7.48,6,1.452,1.052,0.572,0.343
Syria,Middle East and Northern Africa,3.462,149,0.619,0.44,0.013,0.141
Taiwan,Eastern Asia,6.446,25,1.368,0.914,0.351,0.097
Tajikistan,Central and Eastern Europe,5.467,74,0.493,0.718,0.389,0.144
